transaction_id,date,customer_id,merchant,category,amount,payment_mode
TXN00000,2026-04-29,CUST016,Mcintyre-Jones,shopping,594.07,debit card
TXN00001,2025-12-03,CUST025,"Acosta, Wilson and Johnson",utilities,782.21,debit card
TXN00002,2025-11-06,CUST048,Bennett and Sons,groceries,658.15,UPI
TXN00003,2026-03-27,CUST030,"Rodriguez, Turner and Stewart",travel,853.25,UPI
TXN00004,2025-07-17,CUST022,Cuevas-Johnson,shopping,125.45,debit card
TXN00005,2025-09-13,CUST049,"Kent, Banks and Rivera",dining,317.12,UPI
TXN00006,2025-12-14,CUST016,Fields and Sons,dining,898.07,UPI
TXN00007,2026-04-07,CUST030,Hunter-Oliver,shopping,77.41,UPI
TXN00008,2025-09-30,CUST007,"Clarke, Hernandez and Lewis",utilities,764.12,credit card
TXN00009,2025-09-14,CUST018,Perry-Taylor,entertainment,131.22,net banking
TXN00010,2026-05-21,CUST027,Sparks Group,travel,361.28,credit card
TXN00011,2026-04-21,CUST005,"Howard, Guerra and Dominguez",shopping,752.0,debit card
TXN00012,2026-05-26,CUST045,Walls-Wong,groceries,739.9,debit card
TXN00013,2025-10-08,CUST015,"Bolton, Baker and Foster",entertainment,510.68,credit card
TXN00014,2025-11-20,CUST018,Patrick-Reyes,entertainment,790.72,debit card
TXN00015,2025-11-27,CUST007,Ponce Ltd,entertainment,343.75,net banking
TXN00016,2025-10-08,CUST041,"Merritt, Taylor and Boyd",shopping,466.18,credit card
TXN00017,2026-03-25,CUST011,Wiley-Huff,shopping,803.49,credit card
TXN00018,2025-12-25,CUST035,Ramirez Inc,travel,871.08,credit card
TXN00019,2025-09-19,CUST037,"Thompson, Arellano and Marquez",travel,495.61,UPI
TXN00020,2026-03-30,CUST008,Haley Group,entertainment,640.8,UPI
TXN00021,2026-01-30,CUST033,Williams-Lee,groceries,950.19,net banking
TXN00022,2026-05-31,CUST008,"Wong, Munoz and Irwin",groceries,437.15,UPI
TXN00023,2026-01-08,CUST042,Hinton Inc,entertainment,116.22,debit card
TXN00024,2025-11-22,CUST028,Mckee-Crawford,dining,702.77,UPI
TXN00025,2025-12-23,CUST018,Moore Ltd,dining,327.69,credit card
TXN00026,2026-02-07,CUST008,"Torres, Nelson and Olson",entertainment,632.65,UPI
TXN00027,2026-02-12,CUST040,Lee-Smith,groceries,268.22,debit card
TXN00028,2026-02-26,CUST038,Grant Inc,dining,50.19,net banking
TXN00029,2025-11-09,CUST008,Burton Inc,utilities,85.9,net banking
TXN00030,2026-01-05,CUST029,Sanchez-Vega,groceries,184.73,UPI
TXN00031,2026-06-15,CUST032,Robinson-Hester,groceries,166.42,net banking
TXN00032,2025-09-27,CUST026,"Mitchell, Reid and Dawson",shopping,68.68,net banking
TXN00033,2026-03-14,CUST049,Black LLC,utilities,871.99,debit card
TXN00034,2026-05-22,CUST013,"Singh, Cook and Norman",groceries,653.73,UPI
TXN00035,2026-02-02,CUST033,Romero Group,groceries,730.33,credit card
TXN00036,2026-04-30,CUST045,Williams LLC,shopping,485.53,UPI
TXN00037,2026-04-04,CUST035,Clark-Smith,dining,247.14,net banking
TXN00038,2025-07-29,CUST038,"Cooper, Guerrero and Williams",travel,954.7,debit card
TXN00039,2025-12-08,CUST049,Kaufman-Allen,dining,961.93,credit card
TXN00040,2025-11-06,CUST007,Cole Ltd,travel,185.81,UPI
TXN00041,2026-01-02,CUST003,Bass LLC,groceries,692.92,net banking
TXN00042,2025-11-11,CUST009,Boyd Group,utilities,261.86,debit card
TXN00043,2026-05-12,CUST031,Gillespie-Hart,travel,961.49,credit card
TXN00044,2026-01-05,CUST025,Thompson and Sons,entertainment,213.36,UPI
TXN00045,2025-12-18,CUST003,Kennedy-Smith,shopping,725.64,net banking
TXN00046,2025-11-09,CUST043,Cantu-Rhodes,entertainment,45.41,net banking
TXN00047,2025-09-27,CUST022,Prince-Reynolds,shopping,334.39,net banking
TXN00048,2026-01-02,CUST027,Watkins Group,dining,983.98,UPI
TXN00049,2025-12-25,CUST014,"Zuniga, Scott and Gonzalez",entertainment,643.11,credit card
TXN00050,2025-10-08,CUST048,Griffin PLC,travel,751.67,net banking
