transaction_id,date,customer_id,merchant,category,amount,payment_mode,month,day_of_week,rolling_avg_7d
TXN00735,2025-06-25,CUST001,Johnson Inc,shopping,534.93,UPI,6,2,534.93
TXN00567,2025-07-07,CUST001,"Wells, Thompson and Johnson",shopping,719.14,UPI,7,0,627.04
TXN01212,2025-07-14,CUST001,Fuentes PLC,travel,19.3,debit card,7,0,424.46
TXN00453,2025-07-21,CUST001,Hampton LLC,dining,409.11,debit card,7,0,420.62
TXN00558,2025-07-24,CUST001,Williams-Boyd,shopping,81.48,credit card,7,3,352.79
TXN01546,2025-07-28,CUST001,Rivera Ltd,shopping,236.25,credit card,7,0,333.37
TXN01371,2025-07-30,CUST001,"Norton, Cox and Boyer",dining,505.54,credit card,7,2,357.96
TXN00082,2025-07-31,CUST001,Coleman-Gregory,dining,85.85,UPI,7,3,293.81
TXN00837,2025-08-05,CUST001,"Chen, White and Stone",groceries,725.02,debit card,8,1,294.65
TXN00705,2025-08-29,CUST001,Anderson Ltd,travel,761.54,debit card,8,4,400.68
TXN01896,2025-09-21,CUST001,Martin-Washington,groceries,318.75,debit card,9,6,387.78
TXN00756,2025-09-27,CUST001,Clark and Sons,utilities,853.52,credit card,9,5,498.07
TXN00251,2025-10-07,CUST001,"Willis, Powell and King",utilities,577.53,UPI,10,1,546.82
TXN00527,2025-10-10,CUST001,Gray LLC,shopping,392.68,credit card,10,4,530.7
TXN01020,2025-10-12,CUST001,"Johns, Reilly and Jones",dining,21.45,net banking,10,6,521.5
TXN01270,2025-10-25,CUST001,"Fritz, Anderson and Griffith",utilities,47.09,UPI,10,5,424.65
TXN01892,2025-11-02,CUST001,Howell Ltd,groceries,887.03,net banking,11,6,442.58
TXN01786,2025-11-03,CUST001,"Massey, Cantu and Smith",entertainment,380.79,debit card,11,0,451.44
TXN00614,2025-11-20,CUST001,Bell Inc,travel,674.7,debit card,11,3,425.9
TXN01080,2025-11-21,CUST001,Shaw-Smith,groceries,121.42,credit card,11,4,360.74
TXN01361,2025-12-23,CUST001,"Porter, Sanchez and Jones",travel,468.55,UPI,12,1,371.58
TXN01714,2025-12-31,CUST001,Brown-Stanley,entertainment,759.43,debit card,12,2,477.0
TXN01898,2026-01-03,CUST001,Morton-Stein,groceries,670.86,debit card,1,5,566.11
TXN01561,2026-01-25,CUST001,"Phillips, Holt and Wallace",shopping,969.8,debit card,1,6,577.94
TXN01710,2026-02-20,CUST001,"Rodriguez, Kim and Walton",shopping,895.12,net banking,2,4,651.41
TXN01727,2026-02-23,CUST001,Gray-Matthews,utilities,360.76,net banking,2,0,606.56
TXN01003,2026-03-06,CUST001,Hill-Johnston,entertainment,177.42,net banking,3,4,614.56
TXN01469,2026-03-12,CUST001,Gonzalez LLC,utilities,717.76,credit card,3,3,650.16
TXN00524,2026-03-20,CUST001,"Smith, Powell and Martin",travel,531.29,UPI,3,4,617.57
TXN00763,2026-04-07,CUST001,Morales-Johnson,shopping,232.42,net banking,4,1,554.94
TXN01293,2026-04-22,CUST001,Weeks Group,travel,492.34,net banking,4,2,486.73
TXN00929,2026-04-24,CUST001,Schmidt-Li,travel,337.68,credit card,4,4,407.1
TXN00168,2026-04-27,CUST001,"Diaz, York and Williams",entertainment,180.89,credit card,4,0,381.4
TXN00347,2026-05-01,CUST001,Newman-Ferguson,groceries,105.47,credit card,5,4,371.12
TXN01779,2026-05-11,CUST001,Chavez-Santiago,entertainment,139.28,UPI,5,0,288.48
TXN00762,2026-05-13,CUST001,"Huang, Briggs and Mccann",shopping,63.41,debit card,5,2,221.64
TXN00997,2026-05-15,CUST001,"Martin, Norris and Jones",utilities,424.8,net banking,5,4,249.12
TXN01000,2026-05-23,CUST001,"Chavez, Bradford and Hudson",entertainment,985.95,debit card,5,5,319.64
TXN01359,2026-06-01,CUST001,Smith-Lane,groceries,572.36,debit card,6,0,353.17
TXN00554,2025-06-17,CUST002,Gross-West,utilities,686.28,debit card,6,1,686.28
TXN01935,2025-06-28,CUST002,"Jenkins, Tran and George",dining,26.21,debit card,6,5,356.24
TXN01092,2025-07-05,CUST002,Pittman Inc,travel,204.11,UPI,7,5,305.53
TXN00065,2025-07-06,CUST002,Davenport-Spencer,shopping,57.65,net banking,7,6,243.56
TXN00379,2025-07-11,CUST002,Elliott-Mckay,dining,267.79,net banking,7,4,248.41
TXN01265,2025-07-11,CUST002,May-Adams,travel,257.97,debit card,7,4,250.0
TXN01783,2025-07-13,CUST002,"Morris, Moore and Moreno",travel,185.01,credit card,7,6,240.72
TXN00875,2025-07-21,CUST002,Rogers LLC,utilities,7954.23,net banking,7,0,1279.0
TXN00446,2025-07-25,CUST002,Dunn LLC,travel,326.64,net banking,7,4,1321.91
TXN00552,2025-08-05,CUST002,Lewis Group,utilities,60.23,debit card,8,1,1301.36
TXN01603,2025-08-09,CUST002,Curtis-Hawkins,dining,437.33,credit card,8,5,1355.6
TXN01159,2025-08-11,CUST002,Payne-Wilson,shopping,41.99,debit card,8,0,1323.34
TXN01981,2025-08-14,CUST002,"Carr, Guzman and Hanson",groceries,200.44,credit card,8,3,1315.12
TXN01455,2025-08-26,CUST002,Obrien-Duffy,dining,592.4,UPI,8,1,1373.32
TXN00200,2025-09-02,CUST002,"Curry, Fuller and Davis",groceries,985.96,debit card,9,1,377.86
TXN01096,2025-09-03,CUST002,Morgan and Sons,groceries,603.04,net banking,9,2,417.34
TXN01186,2025-09-14,CUST002,Bell Inc,shopping,850.1,net banking,9,6,530.18
TXN00565,2025-09-24,CUST002,Winters-Ball,groceries,570.85,UPI,9,2,549.25
TXN00600,2025-09-26,CUST002,Duke-Bean,shopping,976.65,credit card,9,4,682.78
TXN00918,2025-10-07,CUST002,Gonzalez-Hall,groceries,931.88,UPI,10,1,787.27
